root@comp3134-lab:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:08:53.054550 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 688271701:688271809, ack 3704301911, win 501, options [nop,nop,TS val 1052717688 ecr 3412766284], length 108
20:08:53.054658 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 108:264, ack 1, win 501, options [nop,nop,TS val 1052717688 ecr 3412766284], length 156
20:08:53.054697 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 264:332, ack 1, win 501, options [nop,nop,TS val 1052717688 ecr 3412766284], length 68
20:08:53.054726 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 332:368, ack 1, win 501, options [nop,nop,TS val 1052717688 ecr 3412766284], length 36
20:08:53.073001 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 0, win 5553, options [nop,nop,TS val 3412766309 ecr 1052717685], length 0
20:08:53.080253 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 368, win 5549, options [nop,nop,TS val 3412766312 ecr 1052717688], length 0
20:08:53.155823 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 368:588, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 220
20:08:53.155962 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 588:828, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 240
20:08:53.156016 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 828:864, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 36
20:08:53.156073 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 864:1068, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 204
20:08:53.156101 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1068:1104, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 36
20:08:53.156139 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1104:1308, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 204
20:08:53.156165 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1308:1344, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 36
20:08:53.156233 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1344:1532, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 188
20:08:53.156263 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1532:1568, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 36
20:08:53.156299 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1568:1756, ack 1, win 501, options [nop,nop,TS val 1052717789 ecr 3412766312], length 188
20:08:53.177035 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 1756, win 5533, options [nop,nop,TS val 3412766414 ecr 1052717789], length 0
20:08:53.177092 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1756:1792, ack 1, win 501, options [nop,nop,TS val 1052717810 ecr 3412766414], length 36
20:08:53.193754 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 1792, win 5554, options [nop,nop,TS val 3412766433 ecr 1052717810], length 0
20:08:53.259783 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1792:1996, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 204
20:08:53.260046 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 1996:2032, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 36
20:08:53.260140 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 2032:2236, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 204
20:08:53.260183 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 2236:2272, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 36
20:08:53.260241 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 2272:2476, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 204
20:08:53.260281 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 2476:2512, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 36
20:08:53.260332 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 2512:2716, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 204
20:08:53.260402 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 2716:2956, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 240
20:08:53.260441 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 2956:2992, ack 1, win 501, options [nop,nop,TS val 1052717893 ecr 3412766433], length 36
20:08:53.260497 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 2992:3196, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 204
20:08:53.260537 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 3196:3232, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 36
20:08:53.260596 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 3232:3436, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 204
20:08:53.260639 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 3436:3472, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 36
20:08:53.260695 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 3472:3676, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 204
20:08:53.260769 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 3676:3916, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 240
20:08:53.260818 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 3916:3952, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 36
20:08:53.260905 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 3952:4156, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 204
20:08:53.260946 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 4156:4192, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 36
20:08:53.261002 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 4192:4380, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 188
20:08:53.261041 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 4380:4416, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 36
